xA,xB,x01,x02,x03,x04,x05,x06,x07,x08,x09,x10,x11,response_1,outcome_2
A1,B1,116.02430888812914,67.221264983046,157.67093431638628,106.91330610485484,99.50678994324225,97.16579483392043,142.07398044220784,77.24619404655418,135.84005516334804,62.29576336747371,106.75850510751232,-0.8715124488578956,Pass
A1,B1,116.22328525220807,67.22322281465988,150.46966711564474,103.83729700647132,97.9597204832898,97.83492518852597,142.94387730225338,76.62124658533817,137.15597582321195,62.29372587141887,106.45004368937991,3.2431858587829736,Fail
A1,B1,120.00904683291222,67.99412620918417,155.54437451334445,105.16592958808207,102.59382993457365,96.89123408098945,144.99217608015104,78.0718404246661,137.37992967533415,63.88513374714276,106.80002243824883,4.476270390083318,Pass
A1,B1,116.78989989763778,67.58772800839402,159.4189972755036,107.16210257326425,91.41535785225238,98.71636642589611,145.01915442125758,78.09905900741823,137.2304402828759,54.03931593881224,106.99702159853693,-0.02065380323827501,Pass
A1,B1,118.68900545072714,66.9222420770885,154.85128966598475,104.50367172541132,107.61530083784722,97.41628622683139,145.87303098095066,77.68426057674212,135.3790816042397,63.33955832482477,106.12095619787371,0.06478394359117279,Fail
A1,B1,114.86361708671527,66.51391432195594,150.6409048775547,99.28120953972011,80.89255877014983,97.16894000147352,144.9169307796064,76.43089997008447,135.8898398820851,65.59083906003032,107.93434511438383,13.467896767457894,Fail
A1,B1,114.81012174094286,67.1496694872805,159.044740640788,103.2111734569202,110.48207115020203,97.6084130946054,142.7438159950633,79.15609339828843,139.06029444302882,61.7896442105975,106.34367388165157,3.528582627435691,Pass
A1,B1,115.23398777921699,66.914619669138375,157.30221385269823,108.27678695814451,109.45051500473947,97.28231003629499,144.174793775795,79.0820020970514,135.97578372939248,58.538933705719785,106.50935162977999,0.3355945152572354,Pass
A1,B1,118.1119321650172,65.94681806589783,161.76136581343474,106.34469276286812,90.8912631735825,97.54319606943842,145.7340208609165,78.47310169017992,135.33404865115196,60.565707414301365,106.91603291105825,12.011506295977433,Fail
A1,B1,117.11072372967703,66.93942153608849,160.96264024103618,107.92558103191026,109.89628017211676,97.82175181955256,143.85225428025277,77.21622625104345,136.08402123538596,59.51620662129213,105.84037374836734,1.0591665625440005,Pass
